Rk,Name,Age,Pos,GP,G,A,P
138,Sam Bennett,29,F,3,0,1,1
139,Jan Rutta,35,D,3,0,1,1
140,Rudolfs Balcers,28,F,3,0,1,1
141,Jordan Perret,31,F,3,0,1,1
142,Jesper Bratt,27,F,3,0,1,1
143,Martin Pospisil,26,F,3,0,1,1
144,Seth Jarvis,24,F,3,0,1,1
145,Pierre Crinon,30,D,3,0,1,1
146,Drew Doughty,36,D,4,0,1,1
147,Lars Eller,36,F,4,0,1,1
148,Kaspars Daugavins,37,F,4,0,1,1
149,Stephane Da Costa,36,F,4,0,1,1
150,Teuvo Teräväinen,31,F,4,0,1,1
151,Oliver Lauridsen,36,D,4,0,1,1
152,Lukas Cingel,33,F,4,0,1,1
153,Jesper Jensen,34,D,4,0,1,1
154,Rickard Rakell,32,F,4,0,1,1
155,Olli Määttä,31,D,4,0,1,1
156,Oliver Bjorkstrand,30,F,4,0,1,1
157,Sam Reinhart,30,F,4,0,1,1
158,Erik Cernak,28,D,4,0,1,1
159,Shea Theodore,30,D,4,0,1,1
160,Martin Fehervary,26,D,4,0,1,1
161,Uvis Balinskis,29,D,4,0,1,1
162,Teodors Blueger,31,F,4,0,1,1
163,Christian Wejse,27,F,4,0,1,1
164,Henri Jokiharju,26,D,4,0,1,1
165,Malte Setkov,27,D,4,0,1,1
166,Philip Broberg,24,D,4,0,1,1
167,Radko Gudas,35,D,5,0,1,1
168,Tomas Hertl,32,F,5,0,1,1
169,Moritz Müller,39,D,5,0,1,1
170,Tobias Rieder,33,F,5,0,1,1
171,Dominik Kahun,30,F,5,0,1,1
172,Fabio Wagner,30,D,5,0,1,1
173,Michael Fora,30,D,5,0,1,1
174,David Spacek,22,D,5,0,1,1
175,Joonas Korpisalo,31,G,0,0,0,0
176,Darcy Kuemper,35,G,0,0,0,0
177,Kristers Gudlevskis,33,G,0,0,0,0
178,Reto Berra,39,G,0,0,0,0
179,Mathias Bau Hansen,32,F,0,0,0,0
180,Kevin Lankinen,30,G,0,0,0,0
181,Mathias Niederberger,33,G,0,0,0,0
182,Karel Vejmelka,29,G,0,0,0,0
183,Jake Oettinger,27,G,0,0,0,0
184,Gianluca Vallini,32,G,0,0,0,0
185,Jesper Wallstedt,23,G,0,0,0,0
186,Jackson LaCombe,25,D,0,0,0,0
187,Korbinian Geibel,23,D,0,0,0,0
188,Adam Gajan,21,G,0,0,0,0
189,Peter Cehlarik,30,F,1,0,0,0
190,Josh Morrissey,30,D,1,0,0,0
191,Daniel Vladar,28,G,1,0,0,0
192,Clayton Keller,27,F,1,0,0,0
193,Stanislav Skorvanek,30,G,1,0,0,0
194,Michal Ivan,26,D,1,0,0,0
195,Logan Thompson,28,G,1,0,0,0
196,Anders Koch,28,D,1,0,0,0
197,Akira Schmid,25,G,1,0,0,0
198,Jeremy Swayman,27,G,1,0,0,0
199,Mads Søgaard,25,G,1,0,0,0
200,Frederik Dichow,24,G,1,0,0,0
201,Maximilian Franzreb,29,G,1,0,0,0
202,Oliver Kapanen,22,F,1,0,0,0
203,Martin Neckar,20,G,1,0,0,0
204,Marcus Johansson,35,F,2,0,0,0
205,Jacob Markström,36,G,2,0,0,0
206,Mikko Lehtonen,32,D,2,0,0,0
207,Ralfs Freibergs,34,D,2,0,0,0
208,Elvis Merzlikins,31,G,2,0,0,0
209,Hampus Lindholm,32,D,2,0,0,0
210,Connor Hellebuyck,32,G,2,0,0,0
211,Rasmus Andersson,29,D,2,0,0,0
212,Kyle Connor,29,F,2,0,0,0
213,Denis Malgin,29,F,2,0,0,0
214,Haralds Egle,29,F,2,0,0,0
215,Filip Gustavsson,27,G,2,0,0,0
216,Justin Schütz,25,F,2,0,0,0
217,Alessandro Segafredo,21,F,2,0,0,0
218,Aurélien Dair,26,F,2,0,0,0
219,Roberts Bukarts,35,F,3,0,0,0
220,Oskars Cibulskis,37,D,3,0,0,0
221,Frederik Andersen,36,G,3,0,0,0
222,Elias Lindholm,31,F,3,0,0,0
223,Jordan Binnington,32,G,3,0,0,0
224,J.T. Miller,32,F,3,0,0,0
225,Nicolas Ritz,33,F,3,0,0,0
226,Parker Tuomie,30,F,3,0,0,0
227,Diego Kostner,33,F,3,0,0,0
228,Travis Sanheim,29,D,3,0,0,0
229,Cristiano DiGiacinto,30,F,3,0,0,0
230,Charlie McAvoy,28,D,3,0,0,0
231,Alex Petan,33,F,3,0,0,0
232,Nick Saracino,33,F,3,0,0,0
233,Tim Berni,26,D,3,0,0,0
234,Samuel Hlavaj,24,G,3,0,0,0
235,Thomas Thiry,28,D,3,0,0,0
236,Arturs Silovs,24,G,3,0,0,0
237,Simon Knak,24,F,3,0,0,0
238,Davide Fadani,25,G,3,0,0,0
239,Jiri Tichacek,23,D,3,0,0,0
240,Marco Zanetti,23,F,3,0,0,0
241,Tommy Purdeller,21,F,3,0,0,0
242,Julian Junca,27,G,3,0,0,0
243,Antoine Keller,21,G,3,0,0,0
244,Enzo Cantagallo,27,D,3,0,0,0
245,Oliver Ekman-Larsson,34,D,4,0,0,0
246,Tomas Kundratek,36,D,4,0,0,0
247,Alexander Wennberg,31,F,4,0,0,0
248,Nicklas Jensen,32,F,4,0,0,0
249,Martin Marincin,33,D,4,0,0,0
250,Philipp Grubauer,34,G,4,0,0,0
251,Frederik Storm,36,F,4,0,0,0
252,Morten H. Poulsen,37,F,4,0,0,0
253,Leonardo Genoni,38,G,4,0,0,0
254,Rihards Bukarts,30,F,4,0,0,0
255,Juuse Saros,30,G,4,0,0,0
256,Florian Chakiachvili,33,D,4,0,0,0
257,Alex Trivellato,33,D,4,0,0,0
258,Dominik Kubalik,30,F,4,0,0,0
