Fantasy_Team,Player_Name
Dearborn Thunder,Mark Scheifele
Dearborn Thunder,Bryan Rust
Dearborn Thunder,Ryan O'Reilly
Dearborn Thunder,Zach Hyman
Dearborn Thunder,Mikael Backlund
Dearborn Thunder,Charlie McAvoy
Dearborn Thunder,Jakob Chychrun
Dearborn Thunder,Noah Dobson
Dearborn Thunder,Matt Roy
Dearborn Thunder,Ryan Pulock
Dearborn Thunder,Ben Chiarot
Dearborn Thunder,Mackenzie Blackwood
Dearborn Thunder,Dustin Wolf
Dearborn Thunder,Carter Verhaeghe
Dearborn Thunder,Dylan DeMelo
Dearborn Thunder,Chris Kreider
Dearborn Thunder,Tristan Jarry
Dearborn Thunder,Braden Schneider
Dearborn Thunder,Linus Ullmark
Dearborn Italian Bakery,Jack Eichel
Dearborn Italian Bakery,Mikko Rantanen
Dearborn Italian Bakery,Jake Guentzel
Dearborn Italian Bakery,Joel Eriksson Ek
Dearborn Italian Bakery,Dylan Guenther
Dearborn Italian Bakery,Evgeni Malkin
Dearborn Italian Bakery,Emil Heineman
Dearborn Italian Bakery,Eeli Tolvanen
Dearborn Italian Bakery,Bobby McMann
Dearborn Italian Bakery,Cale Makar
Dearborn Italian Bakery,Miro Heiskanen
Dearborn Italian Bakery,Thomas Chabot
Dearborn Italian Bakery,Mattias Samuelsson
Dearborn Italian Bakery,Damon Severson
Dearborn Italian Bakery,Troy Terry
Dearborn Italian Bakery,Jet Greaves
Dearborn Italian Bakery,Sergei Bobrovsky
Dearborn Italian Bakery,Frank Nazar
Dearborn Italian Bakery,Jason Zucker
Dearborn Italian Bakery,Anze Kopitar
Dearborn Italian Bakery,Corey Perry
Dearborn Italian Bakery,Eetu Luostarinen
Dearborn Italian Bakery,Luke Hughes
Dearborn Italian Bakery,Jesper Wallstedt
West Allis Ellie’s,Auston Matthews
West Allis Ellie’s,Artemi Panarin
West Allis Ellie’s,Alex Ovechkin
West Allis Ellie’s,Adrian Kempe
West Allis Ellie’s,Alex DeBrincat
West Allis Ellie’s,Sam Bennett
West Allis Ellie’s,Brock Nelson
West Allis Ellie’s,Mason McTavish
West Allis Ellie’s,Luke Evangelista
West Allis Ellie’s,Brock Faber
West Allis Ellie’s,Erik Karlsson
West Allis Ellie’s,Jacob Trouba
West Allis Ellie’s,Bowen Byram
West Allis Ellie’s,Aaron Ekblad
West Allis Ellie’s,John Tavares
West Allis Ellie’s,Andrei Vasilevskiy
West Allis Ellie’s,Ilya Sorokin
West Allis Ellie’s,Jonathan Marchessault
West Allis Ellie’s,Zeev Buium
West Allis Ellie’s,Matt Duchene
West Allis Ellie’s,Ryan Donato
West Allis Ellie’s,Stuart Skinner
The Dunndertaker,Cole Caufield
The Dunndertaker,Filip Forsberg
The Dunndertaker,Jesper Bratt
The Dunndertaker,Dylan Strome
The Dunndertaker,Anders Lee
The Dunndertaker,Matty Beniers
The Dunndertaker,Josh Doan
The Dunndertaker,Jack Quinn
The Dunndertaker,Vince Dunn
The Dunndertaker,Noah Hanifin
The Dunndertaker,Matthew Schaefer
The Dunndertaker,Alexander Nikishin
The Dunndertaker,Parker Wotherspoon
The Dunndertaker,Will Smith
The Dunndertaker,Joey Daccord
The Dunndertaker,Alex Lyon
The Dunndertaker,Jason Robertson
The Dunndertaker,Robert Thomas
The Dunndertaker,Wyatt Johnston
The Dunndertaker,Neal Pionk
The Dunndertaker,Tyler Bertuzzi
The Dunndertaker,Beckett Sennecke
The Dunndertaker,Adam Fox
The Dunndertaker,Marco Rossi
Michigan Tinker Belles,Nikita Kucherov
Michigan Tinker Belles,Elias Pettersson
Michigan Tinker Belles,Travis Konecny
Michigan Tinker Belles,Matthew Knies
Michigan Tinker Belles,Pavel Dorofeyev
Michigan Tinker Belles,Morgan Geekie
Michigan Tinker Belles,Anton Lundell
Michigan Tinker Belles,Ivan Barbashev
Michigan Tinker Belles,Gabriel Vilardi
Michigan Tinker Belles,Roman Josi
Michigan Tinker Belles,Jake McCabe
Michigan Tinker Belles,Esa Lindell
Michigan Tinker Belles,Jared Spurgeon
Michigan Tinker Belles,Dougie Hamilton
Michigan Tinker Belles,Dmitri Voronkov
Michigan Tinker Belles,Connor Hellebuyck
Michigan Tinker Belles,Adin Hill
Michigan Tinker Belles,Evander Kane
Michigan Tinker Belles,William Eklund
Michigan Tinker Belles,Sean Durzi
Michigan Tinker Belles,Brenden Dillon
Michigan Tinker Belles,Matvei Michkov
Michigan Tinker Belles,Brayden Point
Michigan Tinker Belles,Kiefer Sherwood
